,Frobenius Norm,Nuclear Norm,Infty Norm,Neg Infty Norm,Neg L1 Norm,L1 Norm,Neg L2 Norm,L2 Norm,eig 1,eig 2,eig 3,eig 4,eig 5,eig 6,eig 7,eig 8,eig 9,eig 10,Taxonomy
1848,0.05048776095405144,0.0062907839285427924,0.09917174598973322,0.17443538373770925,0.1744353837377094,0.09917174598973338,0.03667717976347295,0.14397534737524031,0.08078251046328912,0.06447796508350481,0.05166314607596341,0.07394419909590481,0.06251031070771366,0.07987041177127539,0.07987041177127539,0.08345435276614699,0.1120565658009555,0.10810017651073452,Coronaviridae
1849,0.050452586149785705,0.006040253591664629,0.09796058504104377,0.17445294670425557,0.17445294670425565,0.09796058504104399,0.019396689439194436,0.14421568338474877,0.05139174702597124,0.04101921630458288,0.06622277176983216,0.06622277176983216,0.06364676434789625,0.07549166972587193,0.07577172802542113,0.07287115217202522,0.11503954384769088,0.11097783433537751,Coronaviridae
1850,0.05014081562054212,0.013889055324810412,0.15805268490787988,0.2674675883978209,0.2674675883978211,0.1580526849078801,0.08555365858322411,0.13203342573245846,0.09430010768833397,0.16359864239582061,0.09634026598322347,0.0976581573271167,0.13300980074865631,0.10165503580504287,0.11341182583474038,0.1090703700955308,0.11479579749351695,0.11074269395139631,Coronaviridae
1851,0.053787273149571935,0.009234243075180337,0.12914907867133602,0.3139204831404126,0.3139204831404129,0.12914907867133624,0.07339931746026486,0.15088960889576775,0.11919726781583907,0.09513937148278517,0.09727149176303833,0.09727149176303833,0.1025808568482108,0.07839919026359561,0.07866926867247286,0.083875634268011,0.083875634268011,0.10538346323664552,Coronaviridae
1852,0.049808046459292266,0.013492761871395614,0.1567998989734512,0.255838562815307,0.25583856281530715,0.15679989897345142,0.10415198912598825,0.13167750823181068,0.204278474965281,0.16304841605669895,0.10144764091842073,0.10144764091842073,0.11234731722965861,0.085863376167014,0.10263155302664255,0.09870277098268905,0.1135432328698882,0.10953435371771574,Coronaviridae
1853,0.04817539544677113,0.013207333979109781,0.15169468595470154,0.2790404294581445,0.27904042945814467,0.1516946859547016,0.1025575152403721,0.12983100870915798,0.09337763192801853,0.14348832959911864,0.08449766841965355,0.10974547721323634,0.09277568711601135,0.07200815411120462,0.10529456982787531,0.10126384630215633,0.11941428994016277,0.11519812095049546,Coronaviridae
1854,0.04952983176318371,0.012907030019383398,0.15660978111201235,0.2557355785895586,0.2557355785895587,0.1566097811120124,0.06831114914621611,0.13139012332765254,0.12282801089976256,0.09803731219358769,0.09707830125103721,0.09707830125103721,0.10641779777408669,0.08133163858699999,0.10280765954205921,0.10805126715854087,0.10805126715854087,0.15279311263160963,Coronaviridae
1855,0.049939142354380905,0.01346614675005492,0.15810036443699937,0.26749451827985854,0.26749451827985876,0.15810036443699954,0.12469795686433145,0.1318051741593972,0.1823482112145877,0.1455443947991293,0.08857664944523551,0.08857664944523551,0.11352824001447165,0.08676591678655833,0.1309901741658109,0.13470369299654467,0.13470369299654467,0.130469075152229,Coronaviridae
1856,0.0497766220465356,0.013248629463972456,0.15665729622668806,0.2557613168724279,0.2557613168724281,0.15665729622668817,0.145794079822942,0.13158996889627161,0.1758585135690965,0.14036452980373973,0.1121042984086862,0.1121042984086862,0.10385228857031466,0.07937090390053556,0.0959296801430347,0.10170391233691042,0.10170391233691042,0.13522390398044506,Coronaviridae
1857,0.050066736300652004,0.013417301679788163,0.15795735464452526,0.2557870603366325,0.2557870603366326,0.15795735464452532,0.11683867628572811,0.13231266867847336,0.19846591854656523,0.15840902310316882,0.09760371251312766,0.09760371251312766,0.11828465713354308,0.09040109065962204,0.11477309415110017,0.11330594143092962,0.11330594143092962,0.12449749049534582,Coronaviridae
1858,0.049689813249077786,0.013084742177235265,0.15665729622668806,0.2557613168724279,0.2557613168724281,0.15665729622668817,0.1063916078718796,0.13156824496131236,0.14395966051020342,0.11490390569166983,0.11316631547790439,0.11316631547790439,0.10120649834861443,0.0773488130605695,0.10144892583522959,0.10285861498281305,0.10285861498281305,0.14980275387672173,Coronaviridae
1859,0.04982975715940707,0.013190336925387097,0.15805268490787988,0.255838562815307,0.25583856281530715,0.1580526849078801,0.12459257733307327,0.13179918935091395,0.14992569069104308,0.11966579639649175,0.10877260372168515,0.10877260372168515,0.12126283713921636,0.09267721612862165,0.09781724982358161,0.10195423184133058,0.10195423184133058,0.1480421072575075,Coronaviridae
1860,0.05014535129139469,0.0059261075570389565,0.09779413536980891,0.17438271604938269,0.17438271604938277,0.09779413536980919,0.003677182280562784,0.14359450793837913,0.02143646714879502,0.029992416918020133,0.05013729992146628,0.06645096036130474,0.09662611799391989,0.07384817832285531,0.07916477894995677,0.0761343155799696,0.1012812098349812,0.0977052668188128,Coronaviridae
1861,0.04996723114810825,0.01346837045324209,0.1567998989734512,0.2674675883978209,0.2674675883978211,0.15679989897345142,0.07937092733328516,0.13194890974036033,0.12613480817336134,0.1489902867960301,0.08854918822924437,0.08854918822924437,0.12729522618756228,0.09728757357031376,0.12668146292790353,0.12365931078455263,0.12365931078455263,0.13968904221030498,Coronaviridae
1862,0.049703464578675305,0.012931381778782225,0.15660978111201235,0.24411123410821503,0.24411123410821514,0.1566097811120124,0.046634836856416305,0.13180240789714026,0.12428792467168166,0.12706074916894208,0.09360560932150756,0.09360560932150756,0.12113116760549028,0.09257658541501994,0.1073951874741815,0.11983981918086131,0.11983981918086131,0.12064382015010197,Coronaviridae
1863,0.049703464578675194,0.01339180435064935,0.1578620627550314,0.2673599230709022,0.2673599230709023,0.1578620627550314,0.10401140203515753,0.13169450496365842,0.16029719106809165,0.12794398972496962,0.11495365523276714,0.11495365523276714,0.12382810152213328,0.09463776370652227,0.12716535279513436,0.12389736903908852,0.12389736903908852,0.1292210164242372,Coronaviridae
1864,0.05035046404340221,0.006133753079963167,0.0979189600553046,0.17443538373770925,0.1744353837377094,0.09791896005530476,0.015400689816895588,0.1437781475614256,0.05675985566513473,0.051407537851482506,0.06273003929427566,0.06273003929427566,0.06919319052211437,0.05288209004449431,0.0714605059017483,0.06872496557171218,0.10097729970895629,0.09741208686963383,Coronaviridae
